sampleId,wavelengthNm,qDir
ALT015,369,8022498493348.336
ALT015,370,8944818635614.773
ALT015,371,8406654795011.05
ALT015,372,8380322709989.154
ALT015,373,7867006783804.653
ALT015,374,7235561718632.756
ALT015,375,7839461813722.568
ALT015,376,9192028945649.824
ALT015,377,9922916714892.275
ALT015,378,12199679360473.795
ALT015,379,10855544675021.76
ALT015,380,10467957924270.627
ALT015,381,11643380006240.13
ALT015,382,9124027568318.984
ALT015,383,7215777308660.626
ALT015,384,8250479106995.975
ALT015,385,11124496808409.367
ALT015,386,10457003237983.676
ALT015,387,11188677695532.484
ALT015,388,11139317504429.098
ALT015,389,12244601609095.094
ALT015,390,14512244142781.105
ALT015,391,15801352481625.818
ALT015,392,15044846724866.57
ALT015,393,9243948216616.973
ALT015,394,9726743606612.041
ALT015,395,16143572089436.85
ALT015,396,15405712108718.168
ALT015,397,8827504466109.32
ALT015,398,17993401864641.34
ALT015,399,22945765093271.664
ALT015,400,24350583066306.133
ALT020,290,0.003072058861827789
ALT020,291,0.25789528784424504
ALT020,292,11.860931414232917
ALT020,293,107.57778327750061
ALT020,294,2941.243566093108
ALT020,295,22967.85479743857
ALT020,296,313365.4752714802
ALT020,297,1227414.8773185436
ALT020,298,9074862.836317608
ALT020,299,28746760.398948517
ALT020,300,110454490.25728023
ALT020,301,420205317.2521139
ALT020,302,944510972.7658999
ALT020,303,3380996885.440987
ALT020,304,6061955155.243931
ALT020,305,16335552557.094254
ALT020,306,23200594846.43396
ALT020,307,39849045545.06253
ALT020,308,72214791482.77437
ALT020,309,88917406583.0682
ALT020,310,133868914071.63731
ALT020,311,244954285944.68433
ALT020,312,315492270366.9054
ALT020,313,410948180873.55
ALT020,314,476399256637.7747
ALT020,315,631074801773.8324
ALT020,316,599190587777.4457
ALT020,317,931719724676.1594
ALT020,318,995964077745.7024
ALT020,319,1275607219824.474
ALT020,320,1270179493546.117
ALT020,321,1738604794621.406
ALT020,322,1591882207826.2024
ALT020,323,1537828877346.8823
ALT020,324,2259487442864.896
ALT020,325,2192561803244.6929
ALT020,326,3237348326090.8896
ALT020,327,3678004047264.797
ALT020,328,3128458106538.577
ALT020,329,4056423061891.8345
ALT020,330,4808256645821.716
ALT020,331,4160399851674.387
ALT020,332,4623224406456.663
ALT020,333,4742785167088.057
ALT020,334,4627164590103.804
ALT020,335,5413107082097.03
ALT020,336,5017015569655.87
ALT020,337,4676789713086.238
ALT020,338,5498802030187.201
ALT020,339,6083983165731.906
ALT020,340,6787234741960.792
ALT020,341,6507345006994.287
ALT020,342,6954113994250.374
ALT020,343,7501160171915.757
ALT020,344,6234647941147.303
ALT020,345,7014533600915.445
ALT020,346,7474550345571.874
ALT020,347,7938944509973.333
ALT020,348,7803913825730.087
ALT020,349,7831956037013.741
ALT020,350,9075921272268.775
ALT020,351,9724508337670.77
ALT020,352,9321438276989.76
ALT020,353,9572332116612.006
ALT020,354,11407031870710.648
